learn:jqzx.csv check Article83:【岛读】李稻葵：理论上不去、讲不圆，中国在国际上就会永远吃亏 	 Result: 	0.26681312832693665 	472 	155



  	class: 匹敌  	d: 21  	pt: 2.0  	diff:  媲美A0.75 匹敌A0.25 分庭抗礼B1.0
  	class: 帮助  	d: 37  	pt: 2.0  	diff:  帮A0.7272727272727273 赞助A0.06818181818181818 协助A0.1590909090909091 助A0.022727272727272728 帮忙A0.022727272727272728 扶持B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体A0.9762376237623762 样式A0.023762376237623763 体制B1.0
  	class: 明显  	d: 53  	pt: 2.0  	diff:  确定性A0.7 简明A0.3 鲜明B1.0
  	class: 争吵  	d: 12  	pt: 2.0  	diff:  争吵A1.0 吵架B1.0
  	class: 警惕  	d: 8  	pt: 2.0  	diff:  警惕A1.0 警醒B1.0
  	class: 倒霉  	d: 17  	pt: 2.0  	diff:  不幸A1.0 倒霉B1.0
  	class: 生计  	d: 3  	pt: 2.0  	diff:  生涯A1.0 生路B1.0
  	class: 订约  	d: 11  	pt: 2.0  	diff:  订A1.0 签订B1.0
  	class: 富裕  	d: 38  	pt: 2.0  	diff:  宽A0.8666666666666667 极富A0.06666666666666667 丰厚A0.06666666666666667 有钱B1.0
  	class: 冷落  	d: 16  	pt: 2.0  	diff:  冷静A1.0 萧条B1.0
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  中落A1.0 衰退B0.5 没落B0.5
  	class: 撞  	d: 18  	pt: 2.0  	diff:  碰撞A0.3 拍A0.35 相撞A0.15 撞击A0.2 磕B1.0
  	class: 还击  	d: 4  	pt: 2.0  	diff:  回击A1.0 还手B1.0
  	class: 改进  	d: 6  	pt: 2.0  	diff:  改进A0.6176470588235294 改善A0.3764705882352941 改良A0.0058823529411764705 精益求精B1.0
  	class: 拯救  	d: 19  	pt: 2.0  	diff:  拯救A0.5 解救A0.5 营救B1.0
  	class: 办好  	d: 7  	pt: 2.0  	diff:  做好A0.9642857142857143 办好A0.03571428571428571 搞好B1.0
  	class: 特征  	d: 6  	pt: 1.9930955120828537  	diff:  特征A0.6996547756041427 特性A0.04660529344073648 表征A0.25028768699654774 特色AB0.996547756041427
  	class: 起源  	d: 12  	pt: 1.9705882352941178  	diff:  来源A0.5294117647058824 来源于A0.20588235294117646 源于A0.16176470588235295 源A0.04411764705882353 起源A0.04411764705882353 根源AB0.9852941176470589
  	class: 挖  	d: 18  	pt: 1.9649122807017543  	diff:  挖掘A0.7894736842105263 发掘A0.10526315789473684 打通A0.08771929824561403 挖AB0.9824561403508771
  	class: 推动  	d: 12  	pt: 1.9641577060931898  	diff:  有助于A0.32974910394265233 推A0.1935483870967742 推动A0.3225806451612903 推进A0.13620071684587814 推向AB0.982078853046595
  	class: 能力  	d: 3  	pt: 1.9589552238805972  	diff:  能力A0.9402985074626866 力量A0.03917910447761194 力AB0.9794776119402985
  	class: 著名  	d: 33  	pt: 1.9583333333333335  	diff:  资深A0.125 知名A0.25 著名A0.5833333333333334 有名AB0.9791666666666666 响当当A0.010416666666666666 闻名A0.010416666666666666
