learn:jqzx.csv check Article19:【解局】新成立的中央深改委首次会议，提到了一个重要问题 	 Result: 	0.2641843640666092 	490 	160



  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 干部B1.0
  	class: 防守  	d: 12  	pt: 2.0  	diff:  防守A0.012195121951219513 防御A0.9878048780487805 守卫B1.0
  	class: 编辑  	d: 18  	pt: 2.0  	diff:  编写A0.7115384615384616 编辑A0.23076923076923078 编写者A0.019230769230769232 修A0.019230769230769232 编排A0.009615384615384616 编者A0.009615384615384616 编制B1.0
  	class: 都  	d: 16  	pt: 2.0  	diff:  全A0.9761904761904762 统A0.017857142857142856 备A0.005952380952380952 咸B1.0
  	class: 军队  	d: 17  	pt: 2.0  	diff:  队伍A0.3793103448275862 军事A0.3448275862068966 军队A0.06896551724137931 军A0.1724137931034483 大军A0.034482758620689655 人马B1.0
  	class: 流水  	d: 5  	pt: 2.0  	diff:  流水A1.0 水流B1.0
  	class: 禽  	d: 9  	pt: 2.0  	diff:  鸟群A0.5 鸟儿A0.5 鸟类B1.0
  	class: 鱼  	d: 5  	pt: 2.0  	diff:  鱼A0.75 鱼群A0.25 鱼类B1.0
  	class: 实行  	d: 11  	pt: 2.0  	diff:  执行A0.7307692307692307 实践A0.11076923076923077 实施A0.07076923076923076 行A0.08461538461538462 执A0.0015384615384615385 实行A0.0015384615384615385 推行B1.0
  	class: 称赞  	d: 37  	pt: 2.0  	diff:  赞A0.5555555555555556 称赞A0.2222222222222222 赞赏A0.2222222222222222 歌唱B1.0
  	class: 分开  	d: 13  	pt: 2.0  	diff:  分A0.14414414414414414 分割A0.7792792792792793 划分A0.04954954954954955 细分A0.024774774774774775 瓜分A0.0022522522522522522 区划B1.0
  	class: 惩办  	d: 16  	pt: 2.0  	diff:  处置A1.0 办B1.0
  	class: 探究  	d: 8  	pt: 2.0  	diff:  探索A0.858085808580858 探讨A0.13861386138613863 深究A0.0033003300330033004 追究B1.0
  	class: 停留  	d: 9  	pt: 2.0  	diff:  停留A0.7272727272727273 滞留A0.2727272727272727 栖息B1.0
  	class: 繁殖  	d: 8  	pt: 2.0  	diff:  繁殖A1.0 繁衍B1.0
  	class: 计划  	d: 14  	pt: 1.9891304347826086  	diff:  计划A0.5 规划A0.4945652173913043 统筹AB0.9945652173913043
  	class: 介入  	d: 8  	pt: 1.984251968503937  	diff:  参与A0.937007874015748 涉足A0.047244094488188976 介入A0.007874015748031496 插手AB0.9921259842519685
  	class: 达到  	d: 10  	pt: 1.9523809523809526  	diff:  达成A0.39285714285714285 达A0.5833333333333334 落到AB0.9761904761904762
  	class: 近似  	d: 17  	pt: 1.9487179487179485  	diff:  类似A0.4947209653092006 接近A0.22926093514328807 看似AB0.9743589743589743 相近A0.042232277526395176 类A0.02564102564102564 近似A0.15987933634992457 相仿A0.004524886877828055 好像A0.01809954751131222
  	class: 资本  	d: 12  	pt: 1.9406528189910979  	diff:  成本A0.6913946587537092 资本A0.12462908011869436 基金A0.08902077151335312 资产AB0.9703264094955489 资金A0.05934718100890208 财力A0.005934718100890208
